  N  P   K  Soil_pH  Soil_Moisture  Organic_Carbon  Temperature  Humidity  Rainfall  Sunlight_Hours  Wind_Speed Crop_Type  Crop_Yield_ton_per_hectare
 78 49 138     8.06          23.68            1.45        18.23     37.78   1550.47            9.84        6.50     Wheat                        8.19
 88 63  65     7.79          37.66            1.04        31.89     84.97    515.52            5.16       14.29    Potato                       24.90
 44 57  20     5.85          53.12            0.64        28.84     52.07   1108.74            6.29        2.15 Sugarcane                       73.60
 80 55 115     5.91          18.83            1.40        21.33     46.97    468.70            9.54        6.41    Potato                       24.25
137 51  80     6.82          18.55            1.30        26.05     71.88    474.07            7.04        3.90 Sugarcane                       75.45
 84 71 124     7.92          30.91            0.50        22.63     53.61    493.05            7.39       11.67     Maize                       10.23
 93 56 100     4.83          35.75            1.43        14.39     38.73   2543.59            8.34       13.64     Maize                        8.44
160 61  33     6.14          25.82            1.55        33.42     64.94    847.42            9.09        2.87 Sugarcane                       75.78
 80 75  64     7.69          16.35            1.00        36.95     31.82    468.30            6.02        9.89     Wheat                        5.64
164 28  96     6.20          25.98            0.35        37.91     67.63    307.14           10.05       12.58 Sugarcane                       73.16
 50 82  85     7.25          36.77            1.49        33.68     82.05   1833.16            6.55       17.83    Potato                       23.21
102 67  51     7.15          18.97            0.46        34.65     45.72   1842.44            5.83        4.70      Rice                       10.28
 47 98 115     5.50          50.79            1.12        11.67     81.14    962.35            8.90        2.25     Wheat                        8.99
161 48  77     6.33          42.61            0.82        33.46     44.70   1000.17            6.52        5.38      Rice                        9.48
118 90 123     6.73          36.72            1.59        19.10     42.15   1145.48            7.54       10.53     Wheat                       10.53
 89 38  75     7.23          40.94            1.49        14.13     72.92   1185.24            6.31       11.76    Potato                       22.95
 43 34  86     7.60          47.79            1.32        25.66     33.93   2242.51            9.97        7.44     Wheat                        9.77
 38 83 137     7.38          64.74            0.56        27.11     32.44   2649.01            7.50        8.38     Maize                       11.00
119 44  57     4.90          53.76            1.21        24.54     57.36   1770.52            4.46       10.31 Sugarcane                       75.51
 82 21 131     7.08          42.02            1.04        29.58     32.05   1280.08            4.40        3.64      Rice                        7.86
159 50  73     6.49          53.53            0.48        31.43     59.80   1036.98            6.55       17.35     Wheat                       11.45
113 52  53     6.75          38.76            1.33        14.11     68.97   2373.72            6.85       12.44      Rice                       10.81
121 94  58     6.07          30.55            0.41        28.51     43.69    525.20            4.26        9.86      Rice                        9.97
140 66 131     7.23          28.10            0.93        11.63     83.93   1382.97            9.97       13.44      Rice                        9.27
 37 29 107     7.09          34.97            0.85        23.46     42.02   1963.25            7.55        2.68    Potato                       28.05
 64 60  67     6.77          15.11            1.35        13.00     44.25    926.39            7.83       14.37    Potato                       23.79
110 37  68     7.73          23.85            0.86        23.49     84.78    636.41            8.56        4.28    Potato                       23.37
 79 26  53     5.15          21.33            1.20        15.26     71.25   1929.48            5.52        2.36     Maize                        9.40
133 58 119     5.82          63.02            0.92        32.03     61.72   1798.85            7.66       16.04      Rice                       12.68
161 29  37     6.48          18.24            1.06        36.99     49.81   1848.23            5.56       12.94    Cotton                        9.86
 31 63  89     8.06          40.05            0.61        15.09     76.14   2745.54            6.91        1.65      Rice                       10.07
163 35 133     5.04          60.99            0.56        32.10     65.30   1107.50            8.39       16.84     Wheat                        8.25
 83 29  53     5.95          45.38            1.22        14.38     50.52   2764.55            5.65       17.97     Maize                        9.93
135 28  70     7.95          39.76            0.46        23.01     79.56    417.14           10.19       11.52     Maize                        6.42
 33 56 124     7.85          52.15            0.53        28.77     77.68    401.03            6.06        3.49 Sugarcane                       75.98
 83 94 112     7.74          32.67            1.52        26.13     86.45   2446.63            6.13        9.77    Potato                       26.52
175 29  88     5.85          24.69            0.63        11.71     89.69   1104.92           10.45       12.52      Rice                        8.04
 73 77 108     7.68          57.36            0.72        20.88     30.69   1193.15            6.72        4.15    Potato                       24.65
 43 82 122     6.52          17.83            1.12        24.10     49.21    427.93            4.96        7.58     Maize                       10.82
124 41 102     6.91          55.39            0.87        21.74     41.56    305.94            6.99        2.85    Potato                       23.52
 77 67  30     5.61          20.17            1.03        29.96     42.82   1882.29            6.37       10.87     Maize                        8.37
 44 66  55     7.20          46.28            0.49        36.65     81.89   1606.74            7.47        6.84    Cotton                        5.58
 69 77 101     5.91          38.85            1.17        30.03     88.50   2119.33            8.29        7.00 Sugarcane                       77.11
111 87  57     5.97          64.93            0.50        27.70     86.40    868.73            6.31        8.82     Wheat                        8.94
140 67 108     6.97          34.40            1.27        14.47     71.79   2418.67            8.98        5.30     Wheat                        9.91
 82 71  20     5.62          62.86            0.98        20.47     63.30    955.52            6.12       11.49 Sugarcane                       73.72
 53 66 123     5.56          35.19            1.36        26.45     68.28   1419.78            9.87       12.42    Potato                       27.06
153 57  84     6.06          49.09            0.52        38.02     81.34   1220.40           10.73        5.27 Sugarcane                       74.59
 70 21  20     7.45          47.18            0.79        19.14     30.42   2437.96            4.10       14.10     Wheat                        8.88
 44 56 144     5.56          19.32            1.40        20.14     55.70   2352.53            4.82        1.91 Sugarcane                       76.42
 74 18  79     7.48          52.17            1.34        27.69     60.39   1404.25            7.57       12.76    Cotton                        8.46
 94 83  44     7.17          25.43            1.56        36.99     85.41   1193.61            8.36        8.39    Cotton                        4.93
118 19 110     7.11          34.42            0.59        26.30     40.32   2263.65           10.37       11.57     Wheat                        9.96
100 89  69     6.41          54.11            1.00        15.23     74.66    834.64            8.41        7.77      Rice                        8.31
 38 94 111     7.34          62.22            0.32        12.26     85.44   2652.35           10.05        7.42      Rice                       10.60
117 55  51     4.85          42.99            1.55        36.67     75.84   1094.92            7.66        3.44    Cotton                        4.98
158 18  52     5.84          40.97            0.53        30.10     30.62   1458.46            8.83       13.12    Potato                       22.96
165 16  45     7.11          40.25            1.48        16.62     69.57   2320.76           10.46        6.10     Maize                       13.21
 92 81  61     8.16          55.83            1.18        31.74     42.57   2287.88            8.74        8.32     Maize                       11.97
168 35  80     4.81          64.66            1.52        31.59     66.31   2032.83            7.38       13.89     Wheat                        7.78
110 84  60     6.53          46.68            0.62        33.16     64.27    589.52            8.15        4.91      Rice                       10.39
165 57 149     7.94          33.93            0.75        36.77     87.42    905.44            7.01        8.66     Wheat                        6.72
 62 96 118     7.74          25.93            0.51        14.56     41.42   2083.86            5.05        6.43      Rice                        9.26
152 83 117     4.88          24.94            0.85        38.70     33.03   2448.51            9.39       13.16    Cotton                        7.16
 34 23  50     6.60          57.81            1.53        39.96     66.68    720.52            6.90       17.36     Maize                        9.84
 70 98 134     4.81          64.62            1.04        10.43     50.64   2772.95            4.66       17.16      Rice                        9.13
 57 42  67     7.48          49.90            0.84        12.74     75.01   1853.02            8.93        9.45 Sugarcane                       74.67
164 40  21     5.85          62.79            0.72        23.02     89.59   2353.06            9.35        3.87 Sugarcane                       76.56
101 96 120     7.40          32.50            1.06        11.03     54.08   2263.79            4.74       17.42    Cotton                        9.49
 41 97 147     8.01          46.38            1.24        32.05     39.11    568.07            7.19       16.15    Potato                       24.82
 62 17  78     8.12          40.58            0.83        29.52     63.25   1156.57            7.37        3.69     Wheat                        7.71
 77 87 139     7.84          39.10            0.60        33.28     50.77   1446.04            5.64        5.65    Potato                       24.30
 91 63  57     5.49          46.62            1.06        39.95     77.68    950.16            9.59        2.89     Wheat                        7.90
 66 31 126     5.46          30.52            0.78        38.00     62.06   2005.98            7.72       17.25     Maize                       11.08
128 77  40     6.93          47.03            1.59        19.00     84.49   1703.60            8.01        2.20    Potato                       24.44
133 69  61     6.65          48.64            0.87        21.89     80.29   2752.35            6.51        7.70 Sugarcane                       79.11
 64 37  29     4.83          56.81            0.86        33.28     84.85    756.79            5.72       15.25 Sugarcane                       72.40
130 48  52     6.13          51.52            1.39        21.64     47.94   1702.90            9.62       10.23 Sugarcane                       76.07
160 83  88     7.88          30.99            0.63        30.96     84.17   2550.33            7.73        9.78 Sugarcane                       75.77
 30 29  99     7.85          37.54            0.39        37.56     81.99    398.92            5.69        7.51    Potato                       25.16
 34 61 120     5.49          21.02            1.41        22.18     67.62   1544.25            6.98        1.15      Rice                        8.80
171 17  48     6.10          27.86            1.07        26.82     84.63    832.50            7.89        3.54     Wheat                        7.08
132 97  72     6.71          41.05            0.64        35.24     33.25   2695.60            7.89       10.82     Wheat                       12.76
 56 42 143     7.70          20.04            0.75        24.33     77.14   1963.52            7.90       14.64     Maize                        8.39
166 17  61     6.61          43.53            0.85        18.67     38.73    982.33            5.18       12.00      Rice                        8.80
 44 18  66     8.09          34.51            1.18        17.75     50.45   2774.60            7.88       13.92      Rice                        8.92
119 45  30     7.52          16.74            0.91        12.16     73.78    845.69            6.42        4.51      Rice                        7.45
 71 59 102     8.04          36.72            0.81        19.91     42.58   1127.52            7.97       10.56 Sugarcane                       74.92
153 73 128     7.29          29.06            1.31        30.58     43.87   1987.88            8.67        7.31    Potato                       27.89
 92 59  46     7.78          18.35            0.39        11.77     42.72   1718.76            5.61        6.68     Wheat                        6.14
125 89  81     7.63          29.67            1.15        18.23     57.37   2361.20            4.84        8.22      Rice                        9.99
 81 51 122     5.66          29.70            0.88        13.35     34.86   1973.26            8.23       15.81 Sugarcane                       74.61
125 79  63     5.58          32.75            0.74        22.13     83.19   1745.45            8.85       16.05    Cotton                        8.94
161 23 112     7.74          33.32            1.51        12.80     73.78   1138.80           10.06       14.40    Potato                       22.17
172 31  49     5.09          36.49            1.31        32.38     60.81   1039.57            5.72        7.39     Maize                        7.91
 58 79 138     6.19          19.60            0.59        37.84     35.05    544.90            4.87        1.41    Potato                       25.37
 65 17  48     7.59          15.26            1.15        15.77     37.46   1307.37           10.81        7.24 Sugarcane                       72.39
 42 40  49     7.57          51.80            1.37        17.52     35.91   2272.91            4.28       15.03    Cotton                        9.33
100 67 123     5.27          31.87            1.59        14.80     30.88   1011.27            6.91        2.67    Cotton                        9.50
115 45 129     6.46          45.68            1.21        15.62     70.03   2502.81            7.45       12.36    Potato                       26.93
 57 40  51     6.43          30.35            1.20        19.35     60.61   2303.39            8.98       15.60    Cotton                        7.67
 95 37  70     5.90          64.21            1.10        18.44     52.92   2794.08            9.68        8.95    Potato                       26.01
 74 44  55     7.92          30.77            0.35        21.56     50.85   2114.50            7.90        1.72      Rice                       11.18
 91 24  74     7.02          45.25            1.06        25.75     57.68    423.08            4.20        9.55      Rice                        8.57
163 86  55     8.13          26.00            1.35        31.83     58.50   1783.55           10.99       12.77      Rice                        7.77
 57 78  75     5.03          40.89            0.81        36.53     38.34   1054.44            8.48       12.16    Potato                       22.82
 57 36  55     6.14          43.97            1.06        23.78     61.89   2671.32            9.82        9.70     Maize                       11.62
137 29 108     7.64          24.14            1.50        37.27     32.88   2080.17            6.90       11.25     Maize                        9.74
 73 70  81     6.24          21.18            0.52        30.39     86.32   2256.89            4.37        5.70     Maize                        9.58
113 88 128     5.69          63.68            0.66        31.87     72.85   1703.38            4.58        4.61      Rice                       12.26
 59 34 106     8.19          59.66            0.44        25.67     30.57   2717.44            9.40       16.07    Cotton                        7.23
104 61  83     7.77          48.00            0.95        25.70     47.33    726.59            5.49        5.91    Cotton                        7.24
157 67  76     6.66          58.05            1.39        25.96     88.96   1273.23            9.99       12.77 Sugarcane                       75.33
121 67 132     6.71          19.78            0.87        24.76     32.91   1550.12            5.77        4.13 Sugarcane                       76.18
158 15  89     4.82          51.47            0.39        23.77     38.80   1683.49            5.81        8.31     Wheat                        8.62
150 16  39     8.14          29.28            0.64        33.24     58.63   2240.92            4.69        3.41     Maize                        9.51
 56 72  73     7.54          41.97            1.46        21.63     51.21   2121.27            4.98        6.01     Maize                       10.51
150 33  20     4.92          53.24            1.02        16.20     89.11    436.86            4.89        4.05     Wheat                        7.25
145 76 109     5.40          16.67            1.49        14.07     62.38   2109.34            4.30       17.25     Wheat                        7.90
 32 92 132     7.59          49.74            1.38        36.39     86.47    955.86            5.66        1.27    Potato                       22.43
132 86  32     5.10          36.74            0.84        35.89     52.61   1340.22            4.16        6.91     Wheat                        8.89
166 26 129     8.00          36.98            1.12        17.31     46.33   1425.46            8.92       11.70    Potato                       24.64
 91 40 110     8.20          60.36            1.16        13.55     47.31   2033.93            8.31       15.93 Sugarcane                       73.06
 80 41 114     7.81          57.99            1.27        38.81     68.20   2003.27            5.21       17.94     Wheat                        9.71
 88 43  62     7.31          17.88            0.73        24.46     66.24   1246.21           10.04       11.35 Sugarcane                       74.43
147 29  93     6.46          45.92            0.68        12.80     63.22   2333.09            6.00       16.61      Rice                        9.01
125 60  33     5.08          36.79            1.19        16.46     41.34    603.71            7.75       17.12    Potato                       21.79
142 15 118     7.28          20.89            1.36        31.11     45.81    881.80            9.68       10.13    Potato                       22.89
 91 74 128     6.15          57.55            0.84        12.44     47.35   1361.74            6.58        2.97    Potato                       26.94
 81 71 115     6.74          18.58            0.72        22.99     81.97    847.13            5.76        9.53 Sugarcane                       74.83
 41 17  77     5.80          16.60            1.37        22.83     79.04   2618.96           10.02        9.23 Sugarcane                       75.41
 68 32 115     5.62          24.88            1.19        30.57     42.30   2619.50            4.52       10.32 Sugarcane                       77.75
159 66  57     5.90          30.17            0.75        15.98     38.79    726.52            8.55        6.99     Wheat                        8.77
160 74  83     7.57          18.04            0.99        39.51     36.13   1333.10            9.87       12.37    Potato                       23.31
142 48  28     6.25          47.07            1.55        14.66     34.06   2780.00            8.97        8.90      Rice                       10.13
130 74 140     5.86          36.86            1.27        27.95     89.08    348.55            6.62       10.71     Wheat                        7.58
142 40  51     6.27          35.61            0.59        19.84     78.68    408.23           10.66        6.13      Rice                        9.80
110 86  30     4.91          22.27            0.68        13.99     31.02   2407.32            4.95        8.48     Maize                       11.15
142 33 124     7.83          36.89            0.64        26.17     30.40   1255.44            8.98       13.13     Wheat                        9.06
 31 36 101     6.68          34.51            1.40        15.09     71.40   2126.87            9.03        2.82    Potato                       26.73
159 47  56     5.16          34.18            1.13        30.40     48.68   1845.52            8.29       14.62      Rice                       10.66
 83 52 101     5.78          25.93            1.52        10.97     35.94   2035.80            7.40        8.19    Cotton                        6.70
116 49  31     8.14          19.72            0.42        25.31     57.84    793.49           10.67       17.58    Cotton                        8.65
158 81  23     6.82          28.04            0.37        16.57     31.13   1667.73            7.26       10.03     Wheat                       10.44
176 97  62     5.79          48.36            1.18        38.50     55.49   1915.79            6.33        1.97     Wheat                       11.85
155 24  70     6.25          18.65            0.65        31.32     44.25   1680.41            7.60        9.69     Wheat                        8.38
159 29  24     5.68          34.12            1.18        32.66     45.89   2661.73            9.61       10.00     Maize                        9.24
 82 25 106     4.91          40.72            1.24        31.16     47.17    340.72            5.14       12.33 Sugarcane                       73.90
 97 38 125     7.66          63.16            0.70        29.98     48.46    836.73            6.59        3.80    Cotton                        6.26
152 91  75     5.79          57.19            1.54        14.14     31.20    484.07            7.96        9.10 Sugarcane                       75.04
174 18 129     7.65          60.83            1.31        39.92     64.21   2708.64            9.90        7.58     Maize                       12.33
 67 27  87     6.43          56.00            0.78        29.72     62.87    884.93            6.80       16.60    Potato                       24.56
 53 87 115     5.42          44.46            0.84        36.92     69.05   2150.80            7.85        6.03    Potato                       25.17
 98 71  63     7.53          58.04            1.23        25.11     39.59    664.15            4.86        1.31     Wheat                        9.74
145 51 109     6.08          43.26            0.70        18.58     89.69    430.46            4.66        9.45      Rice                       11.08
127 62  61     7.21          32.89            0.68        23.12     38.15    777.46            5.49       17.37    Potato                       24.31
168 85  92     7.65          33.62            1.11        21.97     78.69    990.50            8.80       11.92     Wheat                        5.14
173 15  30     8.07          43.27            0.48        10.48     43.22   1445.69            5.48       11.21    Cotton                        6.81
126 74  77     5.09          55.47            1.59        30.25     56.34    355.56           10.14       15.15      Rice                        6.62
153 26 147     4.83          21.68            0.67        32.13     49.45   1843.19           10.29        3.64 Sugarcane                       75.59
 99 35  40     6.66          16.96            0.80        11.23     48.46   1940.64            5.86        7.01     Wheat                        6.43
122 25  40     5.70          54.48            0.59        17.38     59.19   1027.32            4.74        4.54    Potato                       24.52
 32 58  91     6.39          47.38            1.14        29.93     44.38    962.14            6.88        7.53      Rice                        6.86
177 72 148     5.05          56.07            0.38        19.66     62.81    775.99            9.56        1.96     Wheat                       11.59
176 58 121     6.51          63.83            1.51        38.02     45.04    838.00            4.75        7.98      Rice                       11.02
119 92  32     5.22          27.57            0.70        13.38     88.38   1925.85            4.69        3.51      Rice                        8.68
176 48  92     7.65          24.71            1.51        37.84     44.36   1814.43            5.71       11.55     Wheat                        9.88
177 39  25     7.38          32.05            0.63        37.42     75.88   2587.18            8.85        9.17    Potato                       26.00
125 18 131     5.05          58.90            0.97        38.67     58.18   2368.73            6.62       12.35 Sugarcane                       76.20
 81 78  36     7.64          15.70            1.20        12.32     32.28   1739.94            9.16        8.51     Maize                        9.53
157 30  92     5.90          15.53            1.10        18.17     39.16    718.46            6.83       11.65      Rice                        8.90
 68 24  31     6.00          25.84            0.97        17.54     85.71   1108.92            4.55        2.70    Cotton                        4.53
111 80 105     5.41          33.80            1.33        36.56     79.22   1490.01           10.99        3.80     Wheat                        8.80
133 49 141     7.64          30.12            0.91        34.22     38.65   1351.75            8.77       17.45      Rice                        6.31
158 97  89     6.18          56.25            0.73        14.77     33.06    461.03            8.42       15.28     Maize                       11.70
 40 20 127     4.97          49.49            1.23        14.24     39.16   1195.58            7.45       10.50      Rice                        7.57
 71 33  71     8.09          56.89            1.52        24.22     65.04    769.19            4.58       17.98      Rice                        7.68
128 73  56     5.67          34.19            1.08        15.20     68.01   1737.22           10.90        1.61      Rice                       10.21
 36 67 136     7.98          44.79            0.66        24.28     52.73   2626.11            7.26       17.62     Maize                       11.54
173 22  22     5.82          40.77            1.29        35.34     46.85    649.60            4.29        2.02      Rice                        9.12
119 92  27     7.63          38.74            1.29        25.00     42.41   2452.84            6.40       11.92     Maize                        9.77
141 24  66     7.06          29.41            0.65        31.73     56.33    955.30            4.23       10.92     Wheat                        7.64
 89 81  83     7.73          50.46            0.80        17.50     31.35   2022.34            7.55       15.88    Potato                       29.28
142 52  61     8.12          41.20            0.48        17.97     30.52   1818.45            9.28       10.93     Maize                        9.88
 31 43  62     7.76          18.93            0.40        27.81     77.87    845.38           10.70        4.75 Sugarcane                       72.95
158 29 144     6.17          15.03            1.35        35.57     61.82   1223.54            9.90        4.66    Cotton                        7.52
 77 37  33     7.57          16.02            0.78        25.93     76.87   1666.87            5.90       13.48 Sugarcane                       72.89
169 96 110     7.22          18.80            0.67        15.95     36.84   2579.73            6.43       15.18    Cotton                        6.38
 66 60  21     5.01          33.55            0.63        16.53     78.92    760.73            7.64        9.26     Wheat                        7.64
 38 97 134     7.96          30.28            0.40        28.51     85.36   1159.29            8.80       14.71      Rice                        9.65
128 42  20     6.38          22.83            1.58        13.10     62.00   2785.99            9.15        3.66 Sugarcane                       76.17
176 40  94     5.26          40.77            0.78        11.96     36.33   2274.01            9.95       10.04    Potato                       24.84
 77 24  84     6.25          63.51            0.51        13.08     37.39   1260.54            5.57        9.12 Sugarcane                       74.25
160 61 144     6.85          23.03            1.42        21.77     41.65    655.48            4.78       15.10 Sugarcane                       74.93
177 18  85     6.75          27.53            1.24        20.63     41.12   1551.85            5.24       16.62     Maize                       11.29
 83 69  91     6.75          38.11            1.16        10.06     86.69   1759.44           10.60        2.93      Rice                       11.47
149 80 135     5.67          47.04            0.69        14.85     78.02    945.86            4.93       10.91    Cotton                        6.22
145 81 140     6.95          45.01            0.84        20.43     49.09   2080.06            6.23        8.07    Potato                       27.47
104 21  66     7.89          41.06            1.39        22.90     78.99   1652.61            5.37        9.11     Wheat                        8.67
142 69 109     6.12          51.86            1.13        22.07     76.33   1217.52            4.78       15.18    Cotton                        6.42
133 94  59     6.94          57.30            0.75        19.59     51.32   1024.13            7.69       12.40    Cotton                        5.83
113 45  61     5.63          64.95            0.44        34.36     31.80   1012.40            6.66        9.64      Rice                        8.54
141 88  54     4.96          38.28            1.47        22.48     30.52   2274.57            9.09       10.55    Potato                       24.88
128 33  60     6.79          64.75            1.54        29.33     49.54   1545.48            6.75       15.53 Sugarcane                       76.49
122 42 104     4.96          51.52            1.23        34.97     32.72   1007.34            7.89       15.23     Maize                        8.12
175 95 143     7.26          47.87            1.20        35.61     37.27   2271.14            9.74        6.82     Maize                       10.51
157 42  76     7.08          46.98            1.00        35.71     45.27    354.53            7.69        2.93    Potato                       24.53
139 33  57     6.06          60.54            1.56        24.84     40.74   2788.38            7.06        3.66     Maize                       11.95
111 34 115     6.20          62.40            1.20        29.84     38.69   2521.74            4.93        6.48 Sugarcane                       75.72
 83 27  82     7.92          23.92            0.40        19.44     45.73   2157.41            7.92       17.41     Wheat                        6.66
 97 91 106     4.84          39.67            0.42        35.86     74.21    965.99            4.69       16.85    Cotton                        7.26
 62 57  71     6.72          62.07            1.55        16.40     56.67   2524.70            4.73       16.32    Cotton                       10.41
171 25  57     7.94          34.11            1.53        33.63     69.79   2341.28            7.16       10.58      Rice                        8.95
 50 62 106     7.91          26.63            1.03        24.09     85.73   2303.45            7.64        9.46      Rice                       10.09
 77 29  24     6.79          20.13            0.58        18.96     30.08    738.36            9.23        5.23    Cotton                        4.36
177 31 139     6.10          44.86            1.06        21.39     87.07   1838.68            7.20       12.54 Sugarcane                       75.79
157 68  89     5.14          50.01            1.29        27.65     46.75   2549.99            8.35       15.97 Sugarcane                       75.50
165 64 132     5.39          24.78            0.31        37.90     47.25   1561.14           10.44       15.29     Wheat                        6.13
164 42  43     7.11          48.68            1.37        12.93     67.76   1678.94           10.58       13.93    Cotton                        9.57
174 97 105     4.86          59.98            0.90        37.58     51.65   1319.42            5.85        5.15    Cotton                        8.88
157 18  45     7.80          27.18            0.90        34.47     34.83   1974.90            7.19       10.79    Potato                       24.31
 62 36  22     6.80          21.10            0.86        27.62     72.69   2450.87            7.72        4.82 Sugarcane                       73.93
144 53  21     4.95          56.77            1.20        13.91     40.99   1576.11            7.13       14.67    Potato                       26.63
148 48 111     5.62          60.82            0.57        34.37     85.76   2722.44           10.74       16.68    Potato                       25.20
 51 58  21     6.82          25.74            1.09        30.72     89.27   1308.92            6.03       16.94     Wheat                        9.68
 67 56  90     4.92          51.07            0.36        24.92     40.87    603.49            7.63       16.64     Maize                        8.97
138 54  23     7.45          44.55            1.35        36.58     75.22    336.42            4.88        5.84     Maize                        8.33
 80 26  57     7.93          26.96            1.36        29.93     89.51   1747.58            8.41        4.57      Rice                        9.13
 37 16 122     8.07          56.18            0.71        18.66     87.32   2333.52            6.30        2.40     Maize                        8.93
 56 42  89     7.29          38.52            0.44        11.31     63.89   2421.14            9.64       13.74      Rice                       11.59
 56 88  71     7.71          50.02            1.27        32.78     48.72   2709.32            4.91       17.36     Wheat                        6.76
 50 95  50     6.88          30.07            0.91        17.66     30.70   1615.76           10.16        3.02     Wheat                        9.55
 59 81  55     6.36          55.79            1.50        18.42     83.89    825.49            7.01        9.12      Rice                        7.66
126 85 134     7.22          28.21            0.76        23.49     32.14   1995.65            6.85        5.64    Cotton                       10.81
 57 86  93     5.56          33.24            1.39        32.50     64.59   2532.30            9.34       13.40     Maize                        9.90
140 98  37     5.17          34.57            0.33        37.73     41.17    764.22            6.12       15.70    Cotton                        6.06
 90 90  34     7.39          25.32            1.30        16.49     44.52   1169.68           10.00        6.96     Wheat                        7.41
 77 95 116     8.06          58.72            1.18        36.46     31.40   2257.88            5.94       12.63      Rice                       10.79
176 24  24     6.76          20.67            0.98        28.13     32.21    886.64            9.12        7.77     Wheat                        6.62
 33 71  56     6.44          43.16            1.48        35.67     51.01   2546.49            4.39       17.13     Wheat                        9.17
 64 51 123     6.62          55.71            1.52        35.45     82.65   2405.86            8.91        1.04      Rice                       10.11
 78 91 105     6.43          44.05            1.51        21.77     63.95   1562.79            5.84       14.06     Maize                       11.42
 46 78  34     6.30          31.34            1.08        30.34     62.30   2794.31            9.09        1.73     Maize                       11.48
 75 93  36     8.02          54.07            0.98        38.40     67.22   1037.94            9.79       13.32     Maize                        8.98
146 54  70     6.43          39.96            0.65        30.17     62.12   2628.67            5.19       17.15 Sugarcane                       78.61
 35 74  64     5.08          23.15            0.51        23.74     48.25   1027.45            5.17       16.05    Potato                       21.97
128 62 141     7.40          30.84            1.02        21.16     82.80   2036.47            9.22        3.02      Rice                       11.01
153 33 101     6.13          44.60            0.49        14.30     58.54   2188.02            5.19        2.24     Wheat                        9.93
 66 86 108     7.22          47.94            0.52        39.96     75.16   1926.08            4.14       16.62     Maize                        8.24
 53 47 120     6.77          42.41            0.76        29.73     84.72   1641.17            4.43        5.67 Sugarcane                       75.46
122 58  59     7.22          28.60            0.54        18.30     30.22   1931.59            4.18        3.99     Wheat                        6.57
 75 51  62     5.01          44.69            0.95        12.23     58.69    357.85           10.35        4.97 Sugarcane                       72.73
124 50  92     4.92          31.62            1.16        32.62     66.28   2502.70           10.06       10.11 Sugarcane                       76.83
128 95  42     6.09          26.25            1.21        35.65     60.14   1632.02            7.89        2.16     Maize                       12.33
145 35 114     7.16          62.28            0.99        22.83     84.14   1510.56            7.59        1.45 Sugarcane                       74.69
 96 16  36     5.56          30.74            0.98        38.68     86.40   1736.73            5.71       10.97    Potato                       23.62
157 45 131     6.27          31.78            0.92        19.85     38.06   1726.77            7.50        8.42    Cotton                        7.26
 47 44 122     8.13          59.84            0.62        32.68     48.15   2122.39           10.52       16.29      Rice                        9.23
